review,stars,date,neg,neu,pos,compound
Bit pricey but best cinema about, 4 ,2022/01,0.0,0.463,0.537,0.7783
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
Great Pizza. Great staff. Comfortable quiet venue to see the layest movie., 5 ,2022/01,0.0,0.439,0.561,0.91
"Good price, Many discount vouchers.", 5 ,2022/01,0.0,0.58,0.42,0.4404
"Nice place and very comfortable chairs for you to enjoy the movies, very high recommended.", 5 ,2022/01,0.0,0.485,0.515,0.8927
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
"Great place with recliner seat. Seat is spacious decent size of screen. With quality and price that they offer, its cheapest one locally.", 5 ,2022/01,0.0,0.843,0.157,0.6249
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
Super comfy chairs, 4 ,2022/01,0.0,0.339,0.661,0.5994
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
Great cinema. Extreme screen is worth the price!, 5 ,2022/01,0.0,0.488,0.512,0.7424
, 1 ,2022/01,0.0,0.0,0.0,0.0
Best place to go to the movies. A much more better experience then event cinemas., 5 ,2022/01,0.0,0.619,0.381,0.8122
, 4 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
I love reclining chairs in the cinema, 5 ,2022/01,0.0,0.543,0.457,0.6369
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
Awesome seats. Clean and tidy too., 5 ,2022/01,0.0,0.37,0.63,0.7783
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
My absolute favourite place to go to the movies I refuse to go anywhere else. Clean great seats & a wonderful experience love this cinema, 5 ,2022/01,0.065,0.501,0.434,0.926
"Lovely staff, good prices, good food.
Clean and neat chairs", 5 ,2022/01,0.0,0.246,0.754,0.936
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
Friendly staff. Clean and comfortable. Food a bit pricey but was expected., 4 ,2022/01,0.0,0.567,0.433,0.6249
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 4 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
"The screen was off all of a sudden while we watched Godzilla vs. Kong on 3rd April. No explanation, no apologies, nothing. We all had to sit there to wait for them to fix the screen which was such a waste time. After 20 mins, still the same …", 1 ,2022/01,0.143,0.857,0.0,-0.7351
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
, 3 ,2022/01,0.0,0.0,0.0,0.0
, 5 ,2022/01,0.0,0.0,0.0,0.0
"Excellent place, friendly staff, would recommend it to all.", 5 ,2022/01,0.0,0.39,0.61,0.8555
Great coffee and comfy seats, 5 ,2022/01,0.0,0.494,0.506,0.6249
Reclining seats and pleasant atmosphere. Close to many restaurants both in this shopping center and across the road., 5 ,2022/01,0.0,0.837,0.163,0.5106
"(Translated by Google) great seats

(Original)
座位超讚", 5 ,2022/01,0.0,0.594,0.406,0.6249
Great service from staff, 5 ,2022/01,0.0,0.423,0.577,0.6249
, 4 ,2022/01,0.0,0.0,0.0,0.0
Love the seats, 5 ,2022/01,0.0,0.323,0.677,0.6369
Terrible...the air cond. was not working in cinema 5, 1 ,2022/01,0.0,1.0,0.0,0.0
"All Seats are reclining, and if you're in an Xtreme screen session you get a barrier between each rows", 4 ,2022/01,0.081,0.919,0.0,-0.128
